comparison,comparison_class,group_a,group_b,pathway,source_database,n_primary_paired_genes,vanilla_raw_p,genept_raw_p,l2_raw_p,vanilla_adjusted_p,vanilla_qval,vanilla_rank,genept_adjusted_p,genept_qval,genept_rank,l2_adjusted_p,l2_qval,l2_rank,rank_delta
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_PYRUVATE_METABOLISM,KEGG,33,5.83030918146285e-21,8.60527170589975e-25,1.59181018210258e-19,7.17128029319931e-19,4.25962478424357,29.0,1.05844841982567e-22,4.68778522344109,20.5,1.95792652398617e-17,4.08756695482739,20.0,-8.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_RETINOL_METABOLISM,KEGG,17,0.983130561728571,0.989331698428969,1.0,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_SELENOAMINO_ACID_METABOLISM,KEGG,22,1.58410791482518e-09,8.03548663493119e-06,0.230392335941705,1.94845273523497e-07,2.59042662985857,61.0,0.000988364856096536,1.73351743731473,69.0,1.0,0.0,94.0,8.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_SPHINGOLIPID_METABOLISM,KEGG,32,0.00059618767048381,0.0150822934297104,0.999990170518365,0.0733310834695086,1.06522856619588,86.0,1.0,0.0,104.5,1.0,0.0,94.0,18.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_STARCH_AND_SUCROSE_METABOLISM,KEGG,21,0.0010996776918826,0.0731481276708723,0.999978425151953,0.13526035610156,0.932110226066041,88.5,1.0,0.0,104.5,1.0,0.0,94.0,16.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_TRYPTOPHAN_METABOLISM,KEGG,24,0.101341801629482,0.101341801629482,0.999999999999865,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_TYROSINE_METABOLISM,KEGG,24,0.0034223189265975,0.0731481276708723,0.920433755749286,0.420945227971492,0.613004412282997,92.0,1.0,0.0,104.5,1.0,0.0,94.0,12.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_ARACHIDONIC_ACID_METABOLISM,REACTOME,35,1.32240927298422e-12,1.58410791482518e-09,0.000160158462101912,1.62656340577059e-10,3.12869445657952,56.0,1.94845273523497e-07,2.59042662985857,56.0,0.0196994908385352,1.30596515981639,58.5,0.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,REACTOME,23,0.920433755749286,0.8532336682836,1.0,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_BIOLOGICAL_OXIDATIONS,REACTOME,113,2.38036718489832e-38,2.95907259463446e-27,7.64935813137827e-30,2.92785163742493e-36,5.9609941229625,7.5,3.63965929140039e-25,4.94357555507811,15.0,9.40871050159527e-28,5.19869886550005,7.5,7.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,REACTOME,67,2.5022986233163e-14,6.26163235949069e-15,3.63636990445739e-13,3.07782730667905e-12,3.39289783983849,46.5,7.70180780217355e-13,3.48043205986735,36.0,4.47273498248259e-11,3.21705250715417,36.0,-10.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,REACTOME,21,0.000313688994347936,0.00196887460329715,0.420283707542506,0.0385837463047961,1.18894726823464,83.5,0.242171576205549,0.784778205325666,83.0,1.0,0.0,94.0,-0.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_CHOLESTEROL_BIOSYNTHESIS,REACTOME,25,4.62765891657924e-09,9.5725425402497e-08,0.00946978291842922,5.69202046739247e-07,2.49894648741163,62.0,1.17742273245071e-05,2.2201503515613,61.0,1.0,0.0,94.0,-1.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,REACTOME,34,2.46964030878651e-07,1.77726970010602e-05,0.631270397757246,3.03765757980741e-05,2.12543199928726,68.5,0.0021860417311304,1.63105534906276,71.0,1.0,0.0,94.0,2.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,REACTOME,22,1.77726970010602e-05,8.03548663493119e-06,0.00059618767048381,0.0021860417311304,1.63105534906276,77.0,0.000988364856096536,1.73351743731473,69.0,0.0733310834695086,1.06522856619588,61.0,-8.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,REACTOME,32,3.59717677613814e-08,3.52341775794401e-06,0.998724216773701,4.42452743464991e-06,2.31389997788891,64.5,0.000433380384227113,1.83388406114409,66.5,1.0,0.0,94.0,2.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM,REACTOME,20,0.0731481276708723,0.420283707542506,0.999999878299158,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,REACTOME,26,0.8532336682836,0.890501459250417,0.999999999999999,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,REACTOME,18,0.000313688994347936,0.00059618767048381,0.631270397757246,0.0385837463047961,1.18894726823464,83.5,0.0733310834695086,1.06522856619588,78.0,1.0,0.0,94.0,-5.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM,REACTOME,29,1.59181018210258e-19,1.51832696460245e-15,1.79179957151977e-17,1.95792652398617e-17,4.08756695482739,30.5,1.86754216646101e-13,3.56773451697946,34.0,2.20391347296932e-15,3.8284207527596,26.0,3.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_DISEASES_OF_METABOLISM,REACTOME,168,7.93240113799911e-19,3.63636990445739e-13,1.79179957151977e-17,9.75685339973891e-17,4.00133605441897,33.0,4.47273498248259e-11,3.21705250715417,42.0,2.20391347296932e-15,3.8284207527596,26.0,9.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_FATTY_ACID_METABOLISM,REACTOME,136,1.0641280705836e-21,5.26903195422322e-11,1.32240927298422e-12,1.30887752681783e-19,4.34546901829762,28.0,6.48090930369456e-09,2.8615317674606,50.0,1.62656340577059e-10,3.12869445657952,38.5,22.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,REACTOME,31,0.0150822934297104,0.0233436169134307,0.420283707542506,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES,REACTOME,21,3.52341775794401e-06,3.81265104892234e-05,0.00946978291842922,0.000433380384227113,1.83388406114409,73.5,0.00468956079017448,1.52606285259303,72.5,1.0,0.0,94.0,-1.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION,REACTOME,26,1.69038678268048e-10,6.1774102028672e-07,0.000160158462101912,2.07917574269699e-08,2.77166173987722,59.0,7.59821454952666e-05,2.02960302707371,65.0,0.0196994908385352,1.30596515981639,58.5,6.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_GLUCONEOGENESIS,REACTOME,27,9.71068166951607e-46,2.38256076949142e-37,8.60527170589975e-25,1.19441384535048e-43,6.55155288241035,3.0,2.93054974647445e-35,5.87648286835015,4.5,1.05844841982567e-22,4.68778522344109,13.5,1.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_GLUCOSE_METABOLISM,REACTOME,80,1.72581468066588e-42,2.16992282193367e-35,2.95907259463446e-27,2.12275205721903e-40,6.29865864526407,4.0,2.66900507097841e-33,5.70733305503311,6.0,3.63965929140039e-25,4.94357555507811,10.0,2.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,REACTOME,96,5.26903195422322e-11,7.93371655046569e-05,3.81265104892234e-05,6.48090930369456e-09,2.8615317674606,58.0,0.0097584713570728,1.417962696362,74.5,0.00468956079017448,1.52606285259303,56.0,16.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_GLYCOGEN_METABOLISM,REACTOME,24,9.6901238729472e-14,9.5725425402497e-08,1.32240927298422e-12,1.19188523637251e-11,3.30511203436503,49.5,1.17742273245071e-05,2.2201503515613,61.0,1.62656340577059e-10,3.12869445657952,38.5,11.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_GLYCOLYSIS,REACTOME,64,2.38036718489832e-38,2.38036718489832e-38,7.64935813137827e-30,2.92785163742493e-36,5.9609941229625,7.5,2.92785163742493e-36,5.9609941229625,3.0,9.40871050159527e-28,5.19869886550005,7.5,-4.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,REACTOME,84,3.63636990445739e-13,3.59717677613814e-08,2.46964030878651e-07,4.47273498248259e-11,3.21705250715417,53.0,4.42452743464991e-06,2.31389997788891,59.0,3.03765757980741e-05,2.12543199928726,52.5,6.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,REACTOME,36,7.93371655046569e-05,0.00059618767048381,0.920433755749286,0.0097584713570728,1.417962696362,78.5,0.0733310834695086,1.06522856619588,78.0,1.0,0.0,94.0,-0.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION,REACTOME,23,0.000160158462101912,0.00577645522630862,0.136726085875245,0.0196994908385352,1.30596515981639,81.0,0.71050399283596,0.385270654364906,85.0,1.0,0.0,94.0,4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,REACTOME,33,7.93371655046569e-05,8.03548663493119e-06,0.989331698428969,0.0097584713570728,1.417962696362,78.5,0.000988364856096536,1.73351743731473,69.0,1.0,0.0,94.0,-9.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_HS_GAG_BIOSYNTHESIS,REACTOME,17,1.0,1.0,1.0,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_INOSITOL_PHOSPHATE_METABOLISM,REACTOME,42,3.59717677613814e-08,0.00059618767048381,2.46964030878651e-07,4.42452743464991e-06,2.31389997788891,64.5,0.0733310834695086,1.06522856619588,78.0,3.03765757980741e-05,2.12543199928726,52.5,13.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,REACTOME,81,5.35115073722742e-24,2.5022986233163e-14,5.83030918146285e-21,6.58191540678973e-22,4.60235240977036,27.0,3.07782730667905e-12,3.39289783983849,38.0,7.17128029319931e-19,4.25962478424357,18.0,11.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,REACTOME,19,0.993445062647761,0.94372001658599,1.0,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,REACTOME,25,0.179741341532766,0.136726085875245,0.999999999993644,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES,REACTOME,20,0.288162930520753,0.755786128119809,0.999999953910873,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,REACTOME,299,5.55162487718189e-60,4.10355640798625e-49,5.16705525856272e-55,6.82849859893372e-58,7.56079855407902,1.0,5.04737438182309e-47,6.80418507103499,1.0,6.35547796803215e-53,7.22473887296078,1.0,0.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_METABOLISM_OF_CARBOHYDRATES,REACTOME,228,2.31016677129441e-36,2.38256076949142e-37,2.15989731613578e-40,2.84150512869212e-34,5.79192986454009,11.5,2.93054974647445e-35,5.87648286835015,4.5,2.65667369884701e-38,6.12989900273653,2.0,-7.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_METABOLISM_OF_COFACTORS,REACTOME,19,1.22945752304217e-31,1.34067800027187e-25,9.6901238729472e-14,1.51223275334187e-29,5.36846173124281,17.5,1.6490339403344e-23,4.77313004281636,18.5,1.19188523637251e-11,3.30511203436503,34.5,1.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,REACTOME,26,0.562150599897062,0.808288747360044,0.999999999999965,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
